Order ID,Product,Quantity Ordered,Price Each,Order Date,City,Sales
1001,USB-C Charging Cable,2,11.95,2024-01-03 09:15:00,San Francisco,23.90
1002,Macbook Pro Laptop,1,1700.00,2024-01-03 10:22:00,New York City,1700.00
1003,AA Batteries (4-pack),3,3.84,2024-01-04 11:08:00,Atlanta,11.52
1004,27in FHD Monitor,1,149.99,2024-01-05 14:31:00,Dallas,149.99
1005,USB-C Charging Cable,1,11.95,2024-01-06 18:44:00,San Francisco,11.95
1006,Bose SoundSport Headphones,2,99.99,2024-01-07 12:05:00,Boston,199.98
1007,AAA Batteries (4-pack),4,2.99,2024-01-08 16:52:00,Portland,11.96
1008,Lightning Charging Cable,2,14.95,2024-01-08 19:16:00,Los Angeles,29.90
1009,Google Phone,1,600.00,2024-01-09 08:43:00,San Francisco,600.00
1010,Wired Headphones,3,11.99,2024-01-10 13:27:00,Atlanta,35.97
1011,27in 4K Gaming Monitor,1,389.99,2024-01-11 15:39:00,Seattle,389.99
1012,USB-C Charging Cable,3,11.95,2024-01-12 17:03:00,San Francisco,35.85
1013,iPhone,1,700.00,2024-01-13 11:48:00,New York City,700.00
1014,AA Batteries (4-pack),2,3.84,2024-01-14 20:10:00,Dallas,7.68
1015,Flatscreen TV,1,300.00,2024-01-15 10:55:00,Boston,300.00
1016,Apple Airpods Headphones,1,150.00,2024-01-16 09:40:00,Los Angeles,150.00
1017,USB-C Charging Cable,2,11.95,2024-01-17 14:18:00,Portland,23.90
1018,LG Washing Machine,1,600.00,2024-01-18 12:32:00,Seattle,600.00
1019,AAA Batteries (4-pack),5,2.99,2024-01-19 16:07:00,Atlanta,14.95
1020,Macbook Pro Laptop,1,1700.00,2024-01-20 11:26:00,San Francisco,1700.00
